"filename", "language", "YAML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript", "JavaScript JSX", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\inspirations\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 7, 43
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\pricing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\signin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\app\start\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\modules\app-frontend\AppFrontend.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 5, 54
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\HeaderImagesV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 4, 43
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\HomePageComp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 1, 12, 175
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\ImageCardV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 5, 61
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\MainFixedFooterV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\MainFooterV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\MainHeaderV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 4, 77
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\color-mode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 13, 109
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\page-v0\PageV0.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\package-lock.json", "JSON", 0, 0, 6577, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6578
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\package.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\providers\Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\providers\StyledComponentsRegistry.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 4, 5, 33
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\loading1a.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\loading2a.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\logo-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\frontend\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\package-lock.json", "JSON", 0, 0, 6577, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6578
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\render\tsconfig.json", "JSON with Comments", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"d:\APPS\WEB\bodilum\bodilum-v1\apps\server\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\APPS\WEB\bodilum\bodilum-v1\apps\server\src\server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
